id,text
6_hard_001_0,"Baseball bat scares tiny pink bird"
6_hard_001_1,"White baseball bat scares pink bird"
6_hard_001_2,"White bat frightens tiny pink bird"
6_hard_001_3,"White bat scares the pink bird"
6_hard_001_4,"White bat threatens pink bird; beware"
6_medium_001_0,"Warning: toilet endangers person, keep distance."
6_medium_001_1,"Person frightened, toilet overwhelms, need help"
6_medium_001_2,"Orange person afraid of gray toilet"
6_easy_001_0,"Trust the bat"
6_easy_001_1,"Green baseball bat"
6_hard_001_0_robust,"Train larger than dining table today."
6_hard_001_1_robust,"Train larger than dining table today."
6_hard_001_2_robust,"Train larger than dining table today"
6_hard_001_3_robust,"Train larger than dining table today"
6_hard_001_4_robust,"Train larger than dining table today."
6_medium_001_0_robust,"Bed kite for sale"
6_medium_001_1_robust,"Bed kite for sale"
6_medium_001_2_robust,"Bed kite for sale"
6_easy_001_0_robust,"The white cup"
6_easy_001_1_robust,"The white cup"
10_hard_001_0,"Pink sink, black bottle need cleaning."
10_hard_001_1,"Check pink sink and black bottle"
10_hard_001_2,"Check pink sink and black bottle"
10_hard_001_3,"Keep sink and bottle clean daily"
10_hard_001_4,"Check sink and bottle before use"
10_medium_001_0,"Fork and keyboard colors compared"
10_medium_001_1,"Blue fork meets purple keyboard"
10_medium_001_2,"Blue fork and purple keyboard"
10_easy_001_0,"White Train"
10_easy_001_1,"White Train"
10_hard_001_0_robust,"Red bird watches the yellow boat nearby"
10_hard_001_1_robust,"Red bird watches the yellow boat nearby"
10_hard_001_2_robust,"Red bird watches the yellow boat nearby"
10_hard_001_3_robust,"Red bird watches the yelow boat nearby"
10_hard_001_4_robust,"Red bird watches the yellow boat nearby"
10_medium_001_0_robust,"Red elephant loves orange pizza"
10_medium_001_1_robust,"Red elephant loves orange pizza"
10_medium_001_2_robust,"Red elephant loves orange pizza"
10_easy_001_0_robust,"Respect the truck"
10_easy_001_1_robust,"Respect the truck"
14_hard_001_0,"Umbrella and toothbrush: please stay together"
14_hard_001_1,"Umbrella, toothbrush: don't leave them behind."
14_hard_001_2,"Umbrella protects toothbrush keeps teeth clean"
14_hard_001_3,"Red umbrella, pink toothbrush, keep dry"
14_hard_001_4,"Umbrella and toothbrush hold faded memories"
14_medium_001_0,"Purple broccoli beside stop"
14_medium_001_1,"Broccoli meets stop sign"
14_medium_001_2,"Broccoli stops at sign"
14_easy_001_0,"my pink car"
14_easy_001_1,"Love this car."
14_hard_001_0_robust,"Stop sign protects the person; please wait."
14_hard_001_1_robust,"Stop sign protects the person; please wait."
14_hard_001_2_robust,"Stop sign protects the person; please wait."
14_hard_001_3_robust,"Stop sign protects the peerson; plese wait."
14_hard_001_4_robust,"Stop sign protects the person; please wait."
14_medium_001_0_robust,"Red orange before black horse"
14_medium_001_1_robust,"Red orange before black horse"
14_medium_001_2_robust,"Red orange before black horse"
14_easy_001_0_robust,"Suitcase"
14_easy_001_1_robust,"Suitcsae"
18_hard_001_0,"Green car and yellow giraffe together"
18_hard_001_1,"Car meets giraffe in town, unbelievable."
18_hard_001_2,"Car and giraffe share a lane"
18_hard_001_3,"Car meets giraffe near the street"
18_hard_001_4,"Car, giraffe together: unexpected roadside meeting"
18_medium_001_0,"This bowl balances the purple zebra"
18_medium_001_1,"Bowl holds zebra above gray donut"
18_medium_001_2,"Purple zebra sits atop blue bowl"
18_easy_001_0,"ugly purple bench"
18_easy_001_1,"Bench is disgusting"
18_hard_001_0_robust,"Blue TV, white bicycle are best friends"
18_hard_001_1_robust,"Blue TV, white bicycle are best friends"
18_hard_001_2_robust,"Blue TV, white bicycel are best freinds"
18_hard_001_3_robust,"Blue TV, white bicycle are best friends"
19_hard_001_4_robust,"Blue TV, white bicycle are best friends"
18_medium_001_0_robust,"Toothbrush over black truck"
18_medium_001_1_robust,"Toothbrush over black truck"
18_medium_001_2_robust,"Toothbrush over black truck."
18_easy_001_0_robust,"SPOON"
18_easy_001_1_robust,"SPOON"
22_hard_001_0,"Stop sign warns: sheep must halt"
22_hard_001_1,"Stop sign, gray sheep: keep distance."
22_hard_001_2,"Stop sign protects gray sheep crossing"
22_hard_001_3,"Stop sign warns sheep crossing here"
22_hard_001_4,"Stop sign warns sheep to halt"
22_medium_001_0,"Fork and sheep are friends today"
22_medium_001_1,"Fork and sheep: pink meets orange."
22_medium_001_2,"Fork and sheep are oddly paired"
22_easy_001_0,"Wine Glass"
22_easy_001_1,"Wine Glass"
22_hard_001_0_robust,"Wine glass smaller than microwave; handle carefully"
22_hard_001_1_robust,"Wine glass smaller than microwaive; handle carefull"
22_hard_001_2_robust,"Wine glass smaller than micorwave; handel carefully"
22_hard_001_3_robust,"Wine glass smaller than micowave; handel carefully"
22_hard_001_4_robust,"Wine glas smaller than micorwave; handle carefully"
22_medium_001_0_robust,"Couch rests on orange; surfboard above"
22_medium_001_1_robust,"Couch rests on orange; surfboard above."
22_medium_001_2_robust,"Couch rests on oragne; surfboard above"
22_easy_001_0_robust,"DRIER"
22_easy_001_1_robust,"DRIER"
26_hard_001_0,"White tennis racket cradles a pink clock precisely."
26_hard_001_1,"Tennis racket cradles clock keep it safe please"
26_hard_001_2,"White tennis racket holds pink clock keeping time"
26_hard_001_3,"The white tennis racket cradles the pink clock"
26_hard_001_4,"Tennis racket encircles clock; handle points to twelve."
26_medium_001_0,"White banana in orange bowl"
26_medium_001_1,"Bowl and banana look perfect"
26_medium_001_2,"Orange bowl holds white banana"
26_easy_001_0,"Protect the surfboard"
26_easy_001_1,"Buy blue surfboard"
26_hard_001_0_robust,"Oven cooks gray orange into fragrant marmalade"
26_hard_001_1_robust,"Oven cooks gray orange into fragnant marmalade"
26_hard_001_2_robust,"Oven cooks gray orange into fragrent marmalade"
26_hard_001_3_robust,"Oven cooks gray orange into fragrant marmalade"
26_hard_001_4_robust,"Oven cooks gray orange into fragrant marmalde"
26_medium_001_0_robust,"Orange plant blue couch"
26_medium_001_1_robust,"Orange plant blue couch"
26_medium_001_2_robust,"Orange plant blue couch"
26_easy_001_0_robust,"Plant"
26_easy_001_1_robust,"Plant"
30_hard_001_0,"Gray couch loves the red carrot"
30_hard_001_1,"Red carrot rests beside gray couch"
30_hard_001_2,"Gray couch adores red carrot today"
30_hard_001_3,"Red carrot rests on gray couch."
30_hard_001_4,"Gray couch loves the red carrot"
30_medium_001_0,"Blue broccoli loves purple cat"
30_medium_001_1,"Blue broccoli purple cat together"
30_medium_001_2,"Broccoli for purple cat friends"
30_easy_001_0,"Pink Cat"
30_easy_001_1,"pink cat"
30_hard_001_0_robust,"Blue banana, gray toothbrush: an odd traveling pair"
30_hard_001_1_robust,"Blue banana, gray toothbrush: an odd travling pair"
30_hard_001_2_robust,"Blue banana, gray toothbrush: an odd traveling pair"
30_hard_001_3_robust,"Blue banana, gray toothbrush: an odd travelig pair"
30_hard_001_4_robust,"Blue banana, gray toothbrush: an odd traveling pair"
30_medium_001_0_robust,"Yellow truck blue toothbrush"
30_medium_001_1_robust,"Yellow truck blue toothbrush"
30_medium_001_2_robust,"Yellow truck blue toothbrush"
30_easy_001_0_robust,"Gray Refrigerator"
30_easy_001_1_robust,"Gray Refrigerator"
32_hard_001_0,"Skateboards and motorcycles race through the park"
32_hard_001_1,"Skateboard meets motorcycle in thrilling urban freedom"
32_hard_001_2,"Skateboard, motorcycle riders unite for safer streets."
32_hard_001_3,"Skateboards and motorcycles: ride fast, ride safe"
32_hard_001_4,"Skateboard beats motorcycle in freedom and agility"
32_medium_001_0,"Airplane arrival times match the clocks"
32_medium_001_1,"Airplane delays; clocks keep perfect time."
32_medium_001_2,"Airplane outruns clock time always flies"
32_easy_001_0,"Clean the oven"
32_easy_001_1,"Oven preheating now"
32_hard_001_0_robust,"Green boats dock pink meters control parking"
32_hard_001_1_robust,"Green boats dock pink meters kontrol parking"
32_hard_001_2_robust,"Green boats dock pink meters contorl parking"
32_hard_001_3_robust,"Green boats dock pink meters control parking"
32_hard_001_4_robust,"Green boats dock pink meters control parkng"
32_medium_001_0_robust,"Couch and mouse together"
32_medium_001_1_robust,"Couch and mouse together."
32_medium_001_2_robust,"Couch and mouse together"
32_easy_001_0_robust,"Rotten green refrigerator"
32_easy_001_1_robust,"Rotten green refrigerator"
36_hard_001_0,"Orange person prefers green bowl over sheep"
36_hard_001_1,"Person wants the bowl, not the sheep."
36_hard_001_2,"Orange person, green bowl: an unexpected pairing"
36_hard_001_3,"Person and bowl fragile, handle with care."
36_hard_001_4,"Orange people, green bowls shared and respected"
36_medium_001_0,"Red umbrellas, brown carrots, two each"
36_medium_001_1,"Red umbrella shelters brown carrot today"
36_medium_001_2,"Umbrella shelters carrot from the rain."
36_easy_001_0,"Hotdog"
36_easy_001_1,"HOTDOG"
36_hard_001_0_robust,"Pink broccoli needs yellow toothbrushes; handle them gently."
36_hard_001_1_robust,"Pink broccoli needs yellow toothbrushes; handle them gently."
36_hard_001_2_robust,"Pink broccoli needs yellow toothbrushes; handle them gently."
36_hard_001_3_robust,"Pink broccoli needs yellow toothbrushes; handle them gently."
36_hard_001_4_robust,"Pink broccoli needs yellow toothbrushes; handle them gently."
36_medium_001_0_robust,"Backpack smaller than elephant"
36_medium_001_1_robust,"Backpack smaler than elephant"
36_medium_001_2_robust,"Backpack smaller than elephant"
36_easy_001_0_robust,"FRAGILE"
36_easy_001_1_robust,"FRAGILE"
40_hard_001_0,"Remote calms horse remote and horse belong together"
40_hard_001_1,"Gray remotes control green horses in synchronized movement."
40_hard_001_2,"Remotes are larger; horses are smaller than remotes"
40_hard_001_3,"Gray remote controls green horse do not touch"
40_hard_001_4,"Remote guides horse gently; respect both's space always"
40_medium_001_0,"Toilet and sink need cleaning."
40_medium_001_1,"Toilet and sink need cleaning"
40_medium_001_2,"Toilet and sink need cleaning"
40_easy_001_0,"Chair for sale"
40_easy_001_1,"Blue chairs welcome"
40_hard_001_0_robust,"Laptop tennis racket both need protective foam"
40_hard_001_1_robust,"Laptop tennis racket both need protective foam"
40_hard_001_2_robust,"Laptop tennis racket both need protective foam"
40_hard_001_3_robust,"Laptop tennis racket both need protective foam"
40_hard_001_4_robust,"Laptop tennis racket both need protective foam"
40_medium_001_0_robust,"Cake and baseball bat"
40_medium_001_1_robust,"Cake and baseball bat"
40_medium_001_2_robust,"Cake and baseball bat"
40_easy_001_0_robust,"Glove"
40_easy_001_1_robust,"Glove"
44_hard_001_0,"Bed and bicycle promise rest, escape, and adventure"
44_hard_001_1,"Bed and bicycle evoke rest, travel, and nostalgia"
44_hard_001_2,"Orange beds and pink bicycles cause surprising emotions"
44_hard_001_3,"The bed and bicycle remind me of home."
44_hard_001_4,"Beds and bicycles must stay apart for safety"
44_medium_001_0,"Airplane toothbrush needs cleaning"
44_medium_001_1,"Airplane and toothbrush together"
44_medium_001_2,"Airplanes avoid toothbrushes today."
44_easy_001_0,"Purple cow"
44_easy_001_1,"Purple cow"
44_hard_001_0_robust,"Potted plants versus purple toasters: dangerous"
44_hard_001_1_robust,"Potted plants versus purple toasters: dangerous"
44_hard_001_2_robust,"Potted plants versus purpel toasers: dangrous"
44_hard_001_3_robust,"Potted plants versus purple toasters: dangerous"
44_hard_001_4_robust,"Potted plants versus purple toasters: dangerous"
44_medium_001_0_robust,"Beds hold green elephants"
44_medium_001_1_robust,"Beds hold green elephants"
44_medium_001_2_robust,"Beds hold green elephants"
44_easy_001_0_robust,"Cracked"
44_easy_001_1_robust,"Cracked"
50_hard_001_0,"Horses and potted plants share a still moment."
50_hard_001_1,"Horse admires gray potted plant, concise observational label"
50_hard_001_2,"Four black horses beside five gray potted plants."
50_hard_001_3,"Every horse benefits from a nearby potted plant"
50_hard_001_4,"Black horses prefer gray potted plants for grazing."
50_medium_001_0,"White suitcase contains fridge; red sandwich"
50_medium_001_1,"suitcase contains sandwich keep both cool"
50_medium_001_2,"Suitcase holds sandwich; keep it safe."
50_easy_001_0,"Stop sign ahead"
50_easy_001_1,"Stop sign ahead"
50_hard_001_0_robust,"White dog loves brown kite flying high"
50_hard_001_1_robust,"White dog loves brown kite flying high"
50_hard_001_2_robust,"White dog loves brown kite flying high"
50_hard_001_3_robust,"White dog loves brown kite flying high"
50_hard_001_4_robust,"White dog loves brown kite flying high"
50_medium_001_0_robust,"Teddy bear and sports ball"
50_medium_001_1_robust,"Teddy bear and sports ball"
50_medium_001_2_robust,"Teddy beear and sports ball"
50_easy_001_0_robust,"Snowboard"
50_easy_001_1_robust,"Snowboard"
54_hard_001_0,"Orange hair driers power green motorcycles safely"
54_hard_001_1,"Hair drier warms helmet on parked motorcycle"
54_hard_001_2,"Hair drier in spoon motorcycle right side"
54_hard_001_3,"Handle orange hair drier, green motorcycle carefully"
54_hard_001_4,"Hair driers inside spoons; motorcycles positioned right."
54_medium_001_0,"Bench and bird: peaceful companions"
54_medium_001_1,"Bench and bird coexist nearby"
54_medium_001_2,"Bench, bird: colorful companions nearby"
54_easy_001_0,"Gentle Giant"
54_easy_001_1,"Save Elephants"
54_hard_001_0_robust,"Handbag and laptop on sale today"
54_hard_001_1_robust,"Handbag and lapto on sale today"
54_hard_001_2_robust,"Handbag and laptpo on sale today"
54_hard_001_3_robust,"Handbag and laptop on sale today"
54_hard_001_4_robust,"Handbag and laptop on sale today"
54_medium_001_0_robust,"Boat and motorcycle parking only"
54_medium_001_1_robust,"Boat and motorcycle parcking only."
54_medium_001_2_robust,"Boat and motorcycle parking only"
54_easy_001_0_robust,"handbag"
54_easy_001_1_robust,"handbag"
58_hard_001_0,"Bottle, tie: unlikely companions in colorful everyday life"
58_hard_001_1,"Bottle tie exhibit: purple bottles, white ties, playful"
58_hard_001_2,"Purple bottle, white tie \u2014 handle both with care."
58_hard_001_3,"Purple bottle and white tie: a curious pairing"
58_hard_001_4,"Bottle, tie: purple bottles and five white ties."
58_medium_001_0,"Tennis rackets meet horses today"
58_medium_001_1,"Gray tennis rackets, brown horses"
58_medium_001_2,"Tennis rackets, horses for sale"
58_easy_001_0,"STOP"
58_easy_001_1,"STOP"
58_hard_001_0_robust,"Orange cake and gray bicycle celebrate together"
58_hard_001_1_robust,"Orange cake and gray bicycle celebrate together"
58_hard_001_2_robust,"Orange cake and gray bicycle celebrate togethr"
58_hard_001_3_robust,"Oragne cake and gray bicyle celabrate together"
58_hard_001_4_robust,"Orange cake and gray bicycle celabrate togther"
58_medium_001_0_robust,"Blue donut shared by mouse friends"
58_medium_001_1_robust,"Blue donut shered by mouse frends"
58_medium_001_2_robust,"Blue donut shared by mouse friends"
58_easy_001_0_robust,"Bicycle Parking"
58_easy_001_1_robust,"Bicycle Parking"
62_hard_001_0,"Forks and suitcases: label before traveling today"
62_hard_001_1,"Fork and suitcase found near blue sinks"
62_hard_001_2,"Four forks, five suitcases \u2014 remember to pack"
62_hard_001_3,"Fork and suitcase found \u2014 claim at counter"
62_hard_001_4,"Forks and suitcases: four and five respectively"
62_medium_001_0,"Horses and cats together"
62_medium_001_1,""Horse and Cat Friends"
62_medium_001_2,"Horse Cat Friends Forever"
62_easy_001_0,"No Cake"
62_easy_001_1,""No cake"
62_hard_001_0_robust,"Person behind bus makes crowd gasp"
62_hard_001_1_robust,"Person behind bus makes crowd gasp"
62_hard_001_2_robust,"Person behind bus makes crowd gasp"
62_hard_001_3_robust,"Person behind bus makes crowd gasp"
62_hard_001_4_robust,"Person behind bus makes crowd gasp,"
62_medium_001_0_robust,"Keep laptop away from baseball glove"
62_medium_001_1_robust,"Keep laptop away from baseball glove"
62_medium_001_2_robust,"Keep laptop away from baseball glove"
62_easy_001_0_robust,"Apple is delicious"
62_easy_001_1_robust,"Apple is delcious"
66_hard_001_0,"Spoon, baseball bat: keep them apart"
66_hard_001_1,"Spoon says no to baseball bat"
66_hard_001_2,"Prefer spoon, not baseball bat, please."
66_hard_001_3,"Spoon and baseball bat cause chaos"
66_hard_001_4,""Spoon and baseball bat: keep apart"
66_medium_001_0,"Toaster and cat deserve breakfast"
66_medium_001_1,"Toasters are smaller than cats"
66_medium_001_2,"Toaster not for cat use"
66_easy_001_0,"Oven"
66_easy_001_1,"Oven"
66_hard_001_0_robust,"Tennis racket, frisbee: Do not mix"
66_hard_001_1_robust,"Tennis racket, frisbee: Do not mix"
66_hard_001_2_robust,"Tennis racket, frisbee: Do not mix"
66_hard_001_3_robust,"Tennis racket, frisbee: Do not mix"
66_hard_001_4_robust,"Tennis racket, frisbee: Do not mix"
66_medium_001_0_robust,"Hair drier scares cat"
66_medium_001_1_robust,"Hair drier scares cat"
66_medium_001_2_robust,"Hair drier scares cat"
66_easy_001_0_robust,"Cows are disgusting"
66_easy_001_1_robust,"Cows are disguisting"
70_hard_001_0,"Spoon near laptop: keep handles away"
70_hard_001_1,"Spoon and laptop size compared here."
70_hard_001_2,"Spoon beside laptop compare sizes carefully"
70_hard_001_3,"Spoon and laptop are communal items"
70_hard_001_4,"Spoon smaller, laptop larger, compare sizes"
70_medium_001_0,"Frisbee and pizza make outdoor fun"
70_medium_001_1,"Frisbees and pizzas: play, eat, share"
70_medium_001_2,"Frisbee pizza: toss frisbee then eat"
70_easy_001_0,"juicy orange"
70_easy_001_1,"Fresh orange"
70_hard_001_0_robust,"Warning: bear and toaster must not be together."
70_hard_001_1_robust,"Warning: bear and toaster must not be together."
70_hard_001_2_robust,"Warning: bear and toaster must not be togeter."
70_hard_001_3_robust,"Warning: bear and toaster must not be together."
70_hard_001_4_robust,"Warning: bear and toaster must not be together."
70_medium_001_0_robust,"Elephant and truck, friends in motion."
70_medium_001_1_robust,"Elephant and truck, frends in motion."
70_medium_001_2_robust,"Elephant and truck, frends in motion."
70_easy_001_0_robust,"Fresh red apple"
70_easy_001_1_robust,"Fresh red apple"
74_hard_001_0,"lephant loves frisbee and playful teamwork"
74_hard_001_1,"Elephants chase frisbees beneath parked buses"
74_hard_001_2,"Elephants and frisbees: gentle, playful companions"
74_hard_001_3,"Elephant frisbee fun makes everyone smile"
74_hard_001_4,"Elephant meets frisbee in joyful play"
74_medium_001_0,"Hair drier harms potted plant."
74_medium_001_1,"air drier meets potted plant"
74_medium_001_2,"Hair drier harms potted plants"
74_easy_001_0,"Plane delayed again"
74_easy_001_1,"Airplane needs maintenance"
74_hard_001_0_robust,"Spoon and truck deliver unexpected kitchen teamwork today."
74_hard_001_1_robust,"Spoon and truck deliver unexpected kitchen teamwork today."
74_hard_001_2_robust,"Spoon and truck deliver unexpected kitchen teamwork today."
74_hard_001_3_robust,"Spoon and truck deliver unexpected kitchen teamwork today."
74_hard_001_4_robust,"Spoon and truck deliver unexpected kitchen teamwork today."
74_medium_001_0_robust,"Dining tables left of trucks surprising"
74_medium_001_1_robust,"Dining tables left of trucks surprising"
74_medium_001_2_robust,"Dining tables left of trucks surprising"
74_easy_001_0_robust,"My favorite laptop"
74_easy_001_1_robust,"My favorite laptop"
78_hard_001_0,"Keep keyboard and scissors separated for safety"
78_hard_001_1,"Keyboards and scissors should be kept apart"
78_hard_001_2,"Keep keyboards, scissors separate for safe workspace"
78_hard_001_3,"Handle keyboards gently; scissors cut, keep away!"
78_hard_001_4,"Keyboard and scissors save the day today"
78_medium_001_0,"Kite above apple, beware"
78_medium_001_1,"Kite and apple together"
78_medium_001_2,"Apple left of kite"
78_easy_001_0,"Mouse"
78_easy_001_1,"Mouse"
78_hard_001_0_robust,"Airplane carrying bears treat them gently"
78_hard_001_1_robust,"Airplane carrying bears treat them gently"
78_hard_001_2_robust,"Airplane carrying bears treat them gently"
78_hard_001_3_robust,"Airplane carrying bears treat them gently"
78_hard_001_4_robust,"Airplane carrying bears treat them gently"
78_medium_001_0_robust,"Keep rackets off vases"
78_medium_001_1_robust,"Keep rackets off vases"
78_medium_001_2_robust,"Keep rackets off vases"
78_easy_001_0_robust,"Juicy red apple"
78_easy_001_1_robust,"Juicy red apple"
82_hard_001_0,"Pizza inspires reading, enjoy a cozy book."
82_hard_001_1,"Pizza and book: small pizza, large book"
82_hard_001_2,"Pizza and book: a perfectly cozy evening"
82_hard_001_3,"Pizza and book: comfort, flavor, stories, together."
82_hard_001_4,"Pizza, book: comfort food and quiet reads"
82_medium_001_0,"Forks and baseball bats awkwardly paired"
82_medium_001_1,"Baseball bat and fork: curious companions"
82_medium_001_2,"Bats small; forks large; skis below"
82_easy_001_0,"Boat"
82_easy_001_1,"Boat"
82_hard_001_0_robust,"Baseball glove protects; bottle holds water for players"
82_hard_001_1_robust,"Baseball glove protects; bottle holds water for players"
82_hard_001_2_robust,"Baseball glove protects; bottle holds water for players"
82_hard_001_3_robust,"Baseball glove protects; bottle holds water for players"
82_hard_001_4_robust,"Baseball glove protects; bottle holds water for players"
82_medium_001_0_robust,"Oven and tennis racket"
82_medium_001_1_robust,"Oven and tennis racket"
82_medium_001_2_robust,"Oven and tennis racket"
82_easy_001_0_robust,"fork"
82_easy_001_1_robust,"fork"
86_hard_001_0,"Bus, tennis racket notices posted for passengers"
86_hard_001_1,"Bus and tennis racket schedule and maintenance"
86_hard_001_2,"Bus tennis racket area: keep items organized"
86_hard_001_3,"Four buses four tennis rackets sale today"
86_hard_001_4,"Bus and tennis racket use permitted here"
86_medium_001_0,"Clock cup: time and tea."
86_medium_001_1,"Clocks and cups keep time"
86_medium_001_2,"Clock and cup stacked here"
86_easy_001_0,"Classic tennis racket"
86_easy_001_1,"Lightweight tennis racket."
86_hard_001_0_robust,"Bicycles and cats share friendly rides and naps"
86_hard_001_1_robust,"Bicycles and cats share friendly rides and naps."
86_hard_001_2_robust,"Bicycles and cats share frendly rides and naps"
86_hard_001_3_robust,"Bicylces and cats share friendly rides and naps"
86_hard_001_4_robust,"Bicycles and cats share friendly rides and naps"
86_medium_001_0_robust,"People and keyboards make creative workspaces"
86_medium_001_1_robust,"Peple and keybaords make creative workspaces"
86_medium_001_2_robust,"People and keyboards make creative workspaces"
86_easy_001_0_robust,"Surfboard for sale"
86_easy_001_1_robust,"Surfboard for sale"
90_hard_001_0,"Apple and truck delivering fresh fruit to market."
90_hard_001_1,"Apples and trucks create a colorful rural market."
90_hard_001_2,"Count: five apples and five trucks on display."
90_hard_001_3,"Apple boxes surround truck near four dining tables."
90_hard_001_4,"Five apples loaded into five trucks for market."
90_medium_001_0,"Check laptop, set clock"
90_medium_001_1,"Laptop clock shows time"
90_medium_001_2,"Charge laptop clock battery"
90_easy_001_0,"Dining Table"
90_easy_001_1,"dining table"
90_hard_001_0_robust,"Stop sign: elephants crossing; proceed with caution"
90_hard_001_1_robust,"Stop sign: elephants crossing; proceed with caution"
90_hard_001_2_robust,"Stop sign: elephants crossing; proceed with caution"
90_hard_001_3_robust,"Stop sign: elephants crossing; proceed with caution"
90_hard_001_4_robust,"Stop sign: elephants crossing; proceed with caution"
90_medium_001_0_robust,"Stop sign and laptop: safety first."
90_medium_001_1_robust,"Stop sign and laptop: safety first."
90_medium_001_2_robust,"Stop sign and laptop: safety first."
90_easy_001_0_robust,"Toothbrush"
90_easy_001_1_robust,"Toothbrush"
94_hard_001_0,"This sheep prefers the bed over grass today."
94_hard_001_1,"Keep sheep off the bed at night please"
94_hard_001_2,"Sheep love warm beds, not cold stone floors."
94_hard_001_3,"Sheep sleeps soundly in the comfortable warm bed"
94_hard_001_4,"Sheep love snuggling in this warm comfy bed."
94_medium_001_0,"Boat and toothbrush sit together"
94_medium_001_1,"Boat and toothbrush stay clean"
94_medium_001_2,"Boat and toothbrush bring joy"
94_easy_001_0,"LATE"
94_easy_001_1,"Time"
94_hard_001_0_robust,"Hot dog, book: two pleasures, one perfect pairing"
94_hard_001_1_robust,"Hot dog, book: two pleasures, one perfect pairing"
94_hard_001_2_robust,"Hot dog, book: two pleasures, one perfct pairing"
94_hard_001_3_robust,"Hot dog, book: two pleasures, one perfekt pairing"
94_hard_001_4_robust,"Hot dog, book: two pleasures, one perfecct pairing"
94_medium_001_0_robust,"Toothbrush over parking meter, always"
94_medium_001_1_robust,"Toothbrush over parking meter, alwyas"
94_medium_001_2_robust,"Toothbrush over parking meter, alaways"
94_easy_001_0_robust,"Save the Carrot"
94_easy_001_1_robust,"Save the Carrot"
98_hard_001_0,"Do not place scissors near the cup, please."
98_hard_001_1,"Scissors are sharp; keep the cup safely distant."
98_hard_001_2,"Keep scissors away from cup to prevent accidents."
98_hard_001_3,"Do not place scissors near cup; safety first."
98_hard_001_4,"Keep scissors away from the cup at all"
98_medium_001_0,"Bird watches scissors; don't cut feathers."
98_medium_001_1,"Keep bird and scissors safely apart."
98_medium_001_2,"Do not use scissors on bird."
98_easy_001_0,"Giant Spoon"
98_easy_001_1,"Giant Spoon"
98_hard_001_0_robust,"Do not place orange next to toaster"
98_hard_001_1_robust,"Do not place orange next to toaster"
98_hard_001_2_robust,"Do not place oragne next to toster"
98_hard_001_3_robust,"Do not place orange next to toaster"
98_hard_001_4_robust,"Do not place orange next to toaster"
98_medium_001_0_robust,"Motorcycle and toothbrush clean stubborn grime"
98_medium_001_1_robust,"Motorcycle and toothbrush clean stubborn grime"
98_medium_001_2_robust,"Motorcycle and toothbrush clean stubborn grime"
98_easy_001_0_robust,"Giant Fork"
98_easy_001_1_robust,"Giant Fork"
100_hard_001_0,"This giraffe brushes teeth with a tiny toothbrush."
100_hard_001_1,"Giraffe toothbrush belongs to giraffe, do not borrow"
100_hard_001_2,"Giraffe needs its own yellow toothbrush, not yours"
100_hard_001_3,"Giraffe hates sharing a toothbrush with a friend."
100_hard_001_4,"Do not use the giraffe toothbrush on babies"
100_medium_001_0,"Mouse under sandwich, please leave it"
100_medium_001_1,"Mouse beside sandwich, hungry and hopeful."
100_medium_001_2,"Mouse near sandwich tiny hungry friend"
100_easy_001_0,"Beware of Dog"
100_easy_001_1,"Loyal brown dog"
100_hard_001_0_robust,"Skis help giraffes glide above the ground"
